SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
010780,아이에스동서,1078
010820,퍼스텍,1082
010950,S-OIL,1095
010955,S-OIL1우,1095
010960,삼호개발,1096
011000,진원생명과학,1100
011070,LG이노텍,1107
011090,에넥스,1109
011150,CJ씨푸드,1115
011155,CJ씨푸드1우,1115
011170,롯데케미칼,1117
011200,에이치엠엠,1120
011210,현대위아,1121
011230,삼화전자공업,1123
011280,태림포장,1128
011300,성안머티리얼스,1130
011330,유니켐,1133
011390,부산산업,1139
011420,갤럭시아 에스엠,1142
011500,한농화성,1150
011690,와이투솔루션,1169
011700,한신기계공업,1170
011760,현대코퍼레이션,1176
011780,금호석유화학,1178
011785,금호석유화학1우,1178
011790,SKC,1179
011810,STX,1181
011930,신성이엔지,1193
012030,디비아이엔씨,1203
012160,영흥,1216
012170,아센디오,1217
012200,계양전기,1220
012205,계양전기1우,1220
012280,영화금속,1228
012320,경동인베스트,1232
012330,현대모비스,1233
012450,한화에어로스페이스,1245
012510,더존비즈온,1251
012600,청호ICT,1260
012610,경인양행,1261
012630,에이치디씨,1263
012690,모나리자,1269
012750,에스원,1275
012800,대창,1280
013000,세우글로벌,1300
013360,일성건설,1336
013520,화승코퍼레이션,1352
013570,디와이,1357
013580,계룡건설산업,1358
013700,까뮤이앤씨,1370
013870,지엠비코리아,1387
013890,지누스,1389
014130,한익스프레스,1413
014160,대영포장,1416
014280,금강공업,1428
014285,금강공업1우,1428
014440,영보화학,1444
014530,극동유화,1453
014580,태경비케이,1458
014680,한솔케미칼,1468
014710,사조씨푸드,1471
014790,에이치엘디앤아이한라,1479
014820,동원시스템즈,1482
014825,동원시스템즈1우,1482
014830,유니드,1483
014910,성문전자,1491
014915,성문전자1우,1491
014990,인디에프,1499
015020,이스타코,1502
015230,대창단조,1523
015260,에이엔피,1526
015360,예스코홀딩스,1536
015590,케이아이비플러그에너지,1559
015760,한국전력공사,1576
015860,일진홀딩스,1586
015890,태경산업,1589
016090,대현,1609
016360,삼성증권,1636
016380,케이지스틸,1638
016450,한세예스24홀딩스,1645
016580,환인제약,1658
016590,신대양제지,1659
016610,디비금융투자,1661
016710,대성홀딩스,1671
016800,퍼시스,1680
016880,웅진,1688
017040,광명전기,1704
017180,명문제약,1718
017370,우신시스템,1737
017390,서울도시가스,1739
017550,수산중공업,1755
017670,SK텔레콤,1767
017800,현대엘리베이터,1780
017810,풀무원,1781
017900,광전자,1790
017940,E1,1794
017960,한국카본,1796
018260,삼성에스디에스,1826
018470,조일알미늄,1847
018500,동원금속,1850
018670,SK가스,1867
018880,한온시스템,1888
019170,신풍제약,1917
019175,신풍제약1우,1917
019180,티에이치엔,1918
019440,세아특수강,1944
019490,하이트론씨스템즈,1949
019680,대교,1968
019685,대교 1우,1968
020000,한섬,2000
020120,키다리스튜디오,2012
020150,롯데에너지머티리얼즈,2015
020560,아시아나항공,2056
020760,일진디스플레이,2076
021050,서원,2105
021240,코웨이,2124
021820,세원정공,2182
022100,포스코디엑스,2210
023000,삼원강재,2300
023150,MH에탄올,2315
023350,한국종합기술,2335
023450,동남합성,2345
023530,롯데쇼핑,2353
023590,다우기술,2359
023800,인지컨트롤스,2380
023810,인팩,2381
023960,에쓰씨엔지니어링,2396
024070,위스컴,2407
024090,디씨엠,2409
024110,중소기업은행,2411
024720,콜마홀딩스,2472
024890,대원화성,2489
024900,덕양산업,2490
025000,KPX케미칼,2500
025530,에스제이엠홀딩스,2553
025540,한국단자공업,2554
025560,미래산업,2556
025620,제이준코스메틱,2562
025750,한솔홈데코,2575
025820,이구산업,2582
025860,남해화학,2586
025890,한국주강,2589
026890,스틱인베스트먼트,2689
026940,부국철강,2694
026960,동서,2696
027740,마니커,2774
027970,한국제지,2797
028050,삼성이앤에이,2805
028100,동아지질,2810
028670,팬오션,2867
029460,케이씨,2946
029530,신도리코,2953
029780,삼성카드,2978
030000,제일기획,3000
030190,나이스평가정보,3019
030200,케이티,3020
030210,다올투자증권,3021
030610,교보증권,3061
030720,동원수산,3072
031430,신세계인터내셔날,3143
031440,신세계푸드,3144
031820,콤텍시스템,3182
032350,롯데관광개발,3235
032560,황금에스티,3256
032640,LG유플러스,3264
032830,삼성생명보험,3283
033180,케이에이치필룩스,3318
033240,자화전자,3324
