SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
050800,모음정보,7267
050810,대박주닷컴,7268
050820,한국아이티시스템,7269
050850,한국방송제작단,5741
050910,기술나라,7276
050920,코스틸,7275
050950,동우에이앤이,7280
050980,현암바씨스,7282
051100,이지씨앤씨,7291
051130,열림기술,7294
051170,썬코어,4126
051250,엠티아이,8145
051260,사이버패트롤,7307
051270,한컴에듀넷,7311
051280,와이티씨엔텍,7309
051310,플랜텍,5550
051315,플랜텍1우,5550
051640,디에이치이노시스,7354
051650,케이에이치네트웍스,7353
051710,디에스,7429
051750,누리인포스,8105
051810,모보,7374
051840,인포맵코리아,7393
051920,리컴인터내셔널,7396
052060,한국공작기계,7378
052090,한림포인트임플란트,7376
052190,세영디앤씨,7420
052210,엠씨티티코어,7388
052230,유클릭,7417
052270,우전,7425
052290,트레이스,7441
052310,에이치원바이오,7428
052350,코아에스앤아이,7437
052510,에코솔루션,7455
052560,삼성수산,7464
052620,엠제이드림월드,7459
052640,제네시스엔알디,7462
052650,이디디컴퍼니,7463
052700,싸이버로지텍,7466
052800,푸른일삼일팔,7471
052810,아시아미디어홀딩스,5974
052820,한미필름테크,7481
052880,모아에스앤에스,7479
052910,자스텍,7484
052970,올리브나인,5047
053040,블루젬디앤씨,7503
053070,트리니티,7500
053110,소리바다,7511
053120,뉴큐시스템,7512
053170,코스모스피엘씨,7515
053217,케이티스카이라이프2우,7519
053240,한국자산평가,7552
053320,제네시스디벨롭먼트홀딩스,7532
053330,영진코퍼레이션,7527
053360,챈스아이,4858
053440,성우몰드,7540
053470,오페스,7538
053540,엑토,7534
053595,한국테크놀로지1우,7547
053660,현진소재,4898
053740,국제엘렉트릭코리아,8387
053810,아이팩토리,7568
053870,지티앤티,7574
054000,연합인포맥스,7585
054010,선팩테크,7586
054150,뉴젠아이씨티,7596
054160,한솔교육,8467
054170,엔빅스,7598
054280,디엠에스플렉스,4190
054290,바이오메카,4186
054310,한밭데이타시스템,4227
054340,피앤텔,4264
054360,디지틀스포츠투데이,4232
054390,이베이코리아,5011
054680,아이디테크,5183
054750,부성리싸이클링,5181
054790,제이엠피,5222
054890,네오아이씨피,5297
054895,네오아이씨피1우,5297
055050,부암테크,5732
055070,씨에스기계,7619
055190,엑시아머티리얼스,5520
055195,엑시아머티리얼스1우,5520
055250,다휘,5737
055300,민아이티에스,7604
055450,유니원커뮤니케이션즈,5613
055557,신한금융지주회사2우,4700
055559,신한금융지주회사3우,4700
05555A,신한금융지주회사4우,4700
05555B,신한금융지주회사5우,4700
05555C,신한금융지주회사6우,4700
05555D,신한금융지주회사7우,4700
05555E,신한금융지주회사8우,4700
05555F,신한금융지주회사9우,4700
05555G,신한금융지주회사10우,4700
05555H,신한금융지주회사11우,4700
05555I,신한금융지주회사12우,4700
055670,진영정기,5470
055720,주홍정보통신,7609
055880,연우이앤티,5230
056000,코원플레이,5815
056010,아이스테이션,5789
056070,블루버드,5825
056320,에티버스,6236
056330,아이.티.에프,5962
056340,씨유전자,6184
056510,아진테크라인,6185
056520,메가데이타,6048
056570,한국인식기술,5681
056710,미리넷,6153
056810,위다스,4590
056850,코어비트,9267
056880,휘라포토닉스,6252
057090,세림정보기술,7895
057160,스마트로,4570
057260,이데일리,4604
057340,컨앤컴,4696
057380,비디에스인포컴,4581
057390,큐알지오,4579
057500,에스케이엔펄스,4676
057590,슈퍼보드테크놀러지,4583
058060,통,4547
058150,삼보이엔텍,4563
058210,실크로드시앤티,4572
