SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
073190,듀오백,8918
073490,이노와이어리스,8897
073540,에프알텍,10063
073570,리튬포어스,8903
073640,테라사이언스,8916
074430,아미노로직스,9015
074600,원익큐엔씨,9034
075130,플랜티넷,9589
075970,동국알앤에스,9199
076080,웰크론한텍,11288
077360,덕산하이메탈,9337
078020,엘에스증권,4481
078070,유비쿼스홀딩스,9423
078130,국일제지,4216
078140,대봉엘에스,9428
078150,에이치비테크놀러지,9429
078160,메디포스트,9972
078340,컴투스,9446
078350,한양디지텍,9447
078590,휴림에이텍,9473
078600,대주전자재료,9474
078860,아이오케이컴퍼니,10651
078890,가온그룹,9501
078940,퀀타피아,9506
079000,와토스코리아,9513
079170,한창산업,9534
079190,케스피온,9536
079370,제우스,10247
079650,서산,9590
079810,디이엔티,9610
079940,가비아,9624
079950,인베니아,9626
079960,동양이엔피,9627
079970,투비소프트,11318
080000,에스엔유프리시젼,9633
080010,이상네트웍스,10075
080160,모두투어네트워크,9949
080220,제주반도체,9658
080420,모다이노칩,9688
080470,성창오토텍,9868
080520,오디텍,11321
080530,코디,9706
081150,티플랙스,9759
081580,성우전자,11328
082210,옵트론텍,9910
082270,젬백스&카엘,9916
082660,코스나인,9971
082800,비보존제약,9988
082850,우리바이오,9991
082920,비츠로셀,10033
083310,엘오티베큠,10082
083450,글로벌스탠다드테크놀로지,10105
083470,이엠앤아이,10414
083500,에프엔에스테크,10335
083550,케이엠,10111
083640,인콘,10315
083650,비에이치아이,10117
083660,씨에스에이코스믹,10118
083790,씨지인바이츠,10188
083930,아바코,10141
084110,휴온스글로벌,11354
084180,수성웹툰,10172
084370,유진테크,10187
084650,랩지노믹스,11356
084730,팅크웨어,10218
084850,아이티엠반도체,10236
084990,헬릭스미스,10254
085660,차바이오텍,10363
085670,뉴프렉스,10364
085810,알티캐스트,8316
085910,네오티스,11365
086040,바이오톡스텍,11368
086060,진바이오텍,10394
086390,유니테스트,10426
086450,동국제약,10431
086520,에코프로,10439
086670,비엠티,11375
086710,선진뷰티사이언스,10461
086820,바이오솔루션,10473
086890,이수앱지스,11378
086900,메디톡스,10480
086960,엠디에스테크,11379
086980,쇼박스,10516
087010,펩트론,10503
087600,픽셀플러스,10552
088130,동아엘텍,10630
088280,쏘닉스,10613
088290,이원컴포텍,11393
088390,이녹스,10622
088800,에이스테크놀로지,10661
088910,동우팜투테이블,10673
089010,켐트로닉스,10963
089030,테크윙,12234
089140,넥스턴바이오사이언스,10697
089150,케이씨티,10698
089230,더이앤엠,10757
089530,에이티세미콘,11737
089600,나스미디어,10726
089790,제이티,10765
089850,유비벨록스,12726
089890,코세스,10774
089970,브이엠,10780
089980,상아프론테크,10784
090150,아이윈,10799
090360,로보스타,15518
090410,덕신이피씨,10932
090470,제이스텍,10833
090710,휴림로봇,10965
090850,현대이지웰,19139
091120,이엠텍,10887
091340,에스엔케이폴리텍,11884
091440,한울소재과학,12338
091580,상신이디피,10994
091590,남화토건,5143
091700,파트론,10949
091970,나노캠텍,10979
092040,아미코젠,11775
092070,디엔에프,11988
092130,이크레더블,10990
092300,현우산업,12012
092460,한라아이엠에스,11687
092600,앤씨앤,11842
092730,네오팜,11693
092870,엑시콘,12736
093190,빅솔론,11754
093320,케이아이엔엑스,15093
093380,풍강,11773
093520,매커스,11782
093640,케이알엠,12001
093920,서원인텍,11901
094170,동운아나텍,14826
094360,칩스앤미디어,12246
094480,갤럭시아머니트리,11954
094820,일진파워,11932
094840,슈프리마에이치큐,12673
094850,참좋은여행,11930
094860,네오리진,11931
106080,하이소닉,13350
106190,하이텍팜,13318
106240,파인테크닉스,14361
106520,노블엠앤비,14398
107640,한중엔시에스,14546
108230,톱텍,13947
108380,대양전기공업,15556
108860,셀바스에이아이,3840
109080,옵티시스,13963
109740,디에스케이,13965
109820,진매트릭스,14735
109860,동일금속,14737
109960,에이피헬스케어,13959
110020,전진바이오팜,13954
111870,케이에이치미래물산,13000
112040,위메이드,3886
113810,디젠스,13777
114190,강원에너지,3851
114450,그린생명과학,13186
114630,폴라리스우노,13201
114810,한솔아이원스,17857
115160,휴맥스,13253
115310,인포바인,13270
115440,우리넷,13287
115450,에이치엘비테라퓨틱스,13286
115480,씨유메디칼시스템,13303
115500,케이씨에스,13291
115530,씨엔플러스,16892
115570,스타플렉스,13301
115610,이미지스테크놀로지,13306
117670,알파홀딩스,15185
119500,포메탈,15099
119610,인터로조,15199
119830,아이텍,15184
119850,지엔씨에너지,16907
119860,커넥트웨이브,16309
120240,대정화금,15300
121440,골프존뉴딘홀딩스,15025
121600,나노신소재,16136
121800,비덴트,15278
121850,코이즈,17530
121890,에스디시스템,15181
122350,삼기,15111
122450,케이엑스이노베이션,15123
122690,서진오토모티브,15152
122870,YG엔터테인먼트,16041
122990,와이솔,15180
123010,아이윈플러스,15183
123040,엠에스오토텍,15188
123330,제닉,16308
123410,코리아에프티,15230
123420,위메이드플레이,15231
123570,이엠넷,15248
123750,알톤,15269
123840,뉴온,15280
123860,아나패스,15282
126600,비지에프에코머티리얼즈,15557
126640,화신정공,15562
126700,하이비젼시스템,15566
126730,코칩,15571
126880,제이엔케이글로벌,15965
127120,디엔에이링크,16058
128660,피제이메탈,15718
130580,나이스디앤비,16033
130740,티피씨,15970
131030,옵투스제약,16011
131090,시큐브,16019
131100,티엔엔터테인먼트,16021
131180,딜리,16028
131220,대한과학,16038
131290,티에스이,16046
131370,알서포트,16048
131400,이브이첨단소재,16057
131970,두산테스나,16135
134060,이퓨쳐,16360
134580,탑코미디어,16812
136480,하림,16609
136540,윈스,16619
137080,나래나노텍,16677
137400,피엔티,16709
144960,뉴파워프라즈마,17539
145020,휴젤,18160
147830,제룡산업,17834
149950,아바텍,18057
149980,하이로닉,18056
151860,케이지에코솔루션,6987
151910,퓨처코어,18443
153460,네이블,18425
153490,우리이앤엘,18428
154030,농업회사법인아시아종묘,18491
154040,다산솔루에타,18493
155650,와이엠씨,18660
137940,넥스트아이,16780
137950,제이씨케미칼,16781
138070,신진에스엠,16793
138080,오이솔루션,18844
138360,협진,16951
138610,나이벡,16871
139050,비에프랩스,16922
139670,키네마스터,16989
140410,메지온,17057
140520,대창스틸,17067
140670,알에스오토메이션,17079
140860,파크시스템스,17094
141000,비아트론,17608
141080,리가켐 바이오사이언스,17569
142280,녹십자엠에스,18089
142760,모아라이프플러스,17270
143160,아이디스,17315
143240,사람인,17337
143540,영우디에스피,17368
102710,이엔에프테크놀로지,12920
102940,코오롱생명과학,12953
103230,에스앤더블류,12996
104040,대성파인텍,14074
104200,엔에이치엔벅스,13952
104460,디와이피엔에프,13185
104480,티케이케미칼,14168
104540,코렌텍,16062
104830,원익머트리얼즈,13328
105330,케이엔더블유,14230
105550,엣지파운드리,17171
105740,디케이락,14330
105760,포스뱅크,14310
156100,엘앤케이바이오메드,18693
159580,제로투세븐,19159
159910,스킨앤스킨,19214
160600,이큐셀,19132
161580,필옵틱스,19255
168330,내츄럴엔도텍,19938
168360,펨트론,19939
900120,씨엑스아이헬스케어테크놀리지그룹리미티드,90011
900070,글로벌에스엠테크리미티드,90007
900100,애머릿지코퍼레이션,90012
166090,하나머티리얼즈,20006
166480,코아스템켐온,19746
170030,현대공업,4217
171120,라이온켐텍,20241
172670,에이엘티,20410
130500,지에이치신소재,15946
170790,파이오링크,20422
171010,램테크놀러지,20616
138580,비즈니스온커뮤니케이션,20783
170920,엘티씨,20826
177350,베셀,20856
150900,파수,18231
174900,앱클론,21148
171090,선익시스템,21154
076610,해성옵틱스,9274
124500,아이티센,15329
126340,비나텍,15471
177830,파버나인,20932
180400,디엑스앤브이엑스,21223
150840,인트로메딕,18229
131760,파인텍,16100
148780,비큐에이아이,17950
182400,엔케이맥스,21423
182360,큐브엔터테인먼트,21447
183490,엔지켐생명과학,21538
184230,에스지에이 솔루션즈,21627
185490,아이진,21740
186230,그린플러스,21802
183300,코미코,21508
187220,디티앤씨,21936
187420,제노포커스,21959
187790,나노,22099
189330,씨이랩,22163
189690,포시에스,22198
148250,알엔투테크놀로지,17866
160550,넥스트엔터테인먼트월드,22348
191410,육일씨엔에쓰,22361
084440,유비온,10200
192250,케이사인,22433
174880,장원테크,20638
193250,링크드,22543
187270,신화콘텍,22644
192410,휴림네트웍스,22645
192440,슈피겐코리아,22720
173940,에프엔씨엔터테인먼트,22748
192390,윈하이텍,22849
197140,디지캡,22951
196300,애니젠,22731
196450,코아시아씨엠,22898
200130,콜마비앤에이치,23262
199800,툴젠,23249
194480,데브시스터즈,23283
198440,강동씨앤엘,23273
200350,래몽래인,23299
189860,서전기전,23305
198940,한주라이트메탈,23316
191420,테고사이언스,23239
196490,디에이테크놀로지,23355
194700,노바렉스,23274
195990,에이비프로바이오,23406
203400,에이비온,23599
203450,유니온커뮤니티,23595
203690,스피어파워,23615
204020,그리티,23662
200780,비씨월드제약,23675
203650,드림시큐리티,23674
201490,미투온,23576
200710,에이디테크놀로지,23706
204620,글로벌텍스프리,23719
196170,알테오젠,23721
204630,스튜디오산타클로스엔터테인먼트,23723
204840,지엘팜텍,23735
200230,텔콘알에프제약,23758
080580,오킨스전자,11322
060480,국일신동,4885
200470,에이팩트,23646
205100,엑셈,23787
200670,휴메딕스,23799
205470,휴마시스,23809
205500,액션스퀘어,23829
067390,아스트,11199
206400,베노티앤알,23915
206640,바디텍메드,23927
207760,미스터블루,24039
208350,지란지교시큐리티,24103
208140,정다운,24101
208370,셀바스헬스케어,24115
208640,썸에이지,24127
208710,바이오로그디바이스,24128
206650,유바이오로직스,24032
208860,엔지스테크널러지,24146
210120,빅토리콘텐츠,24271
204270,(주)제이앤티씨,24283
122640,예스티,17884
213420,덕산네오룩스,24594
212560,네오오토,24656
214150,클래시스,24669
214270,에프에스엔,24670
214260,라파스,24674
178780,일월지엠엘,20993
063760,이엘피,7822
214680,디알텍,24702
189980,흥국에프엔비,24735
215090,휴센텍,24742
215100,로보로보,24748
215380,우정바이오,24770
127710,아시아경제,13946
160980,싸이맥스,24772
215480,토박스코리아,24781
214180,헥토이노베이션,24724
214310,에스엘에너지,24788
215790,이노인스트루먼트,24800
067730,로지시스,8253
215000,골프존,24732
216080,제테마,24833
214610,미코바이오메드,24695
217270,넵튠,24971
214450,파마리서치,24714
214430,아이쓰리시스템,24962
217480,에스디생명공학,24973
217500,러셀,24974
217620,디딤이앤에프,24982
217330,싸이토젠,24956
215200,메가스터디교육,24755
215360,우리산업,24762
147760,피엠티,17824
